Apr 23 2015 01: +0,4.88,1526
Apr 24 2015 01: +0,4.831,1132
Apr 25 2015 01: +0,4.842,1548
Apr 26 2015 01: +0,4.844,1329
Apr 27 2015 01: +0,4.882,1086
Apr 28 2015 01: +0,4.843,1239
Apr 29 2015 01: +0,4.897,1256
Apr 30 2015 01: +0,4.843,1454
May 01 2015 01: +0,4.395,5683
May 02 2015 01: +0,4.875,1566
May 03 2015 01: +0,4.829,2156
May 04 2015 01: +0,4.828,1340
May 05 2015 01: +0,4.854,1498
May 06 2015 01: +0,4.908,1265
May 07 2015 01: +0,4.898,1189
May 08 2015 01: +0,5.069,2276
May 09 2015 01: +0,5.149,2286
May 10 2015 01: +0,4.848,1658
May 11 2015 01: +0,4.804,1417
May 12 2015 01: +0,4.779,1448
May 13 2015 01: +0,4.828,1187
May 14 2015 01: +0,4.846,1484
May 15 2015 01: +0,4.804,1437
May 16 2015 01: +0,4.786,1896
May 17 2015 01: +0,4.841,1575
May 18 2015 01: +0,4.87,1341
May 19 2015 01: +0,4.892,1366
May 20 2015 01: +0,4.836,1168
May 21 2015 01: +0,4.88,1805
May 22 2015 01: +0,4.915,1651
May 23 2015 01: +0,5.041,1603
May 24 2015 01: +0,5.031,1328
May 25 2015 01: +0,4.912,1728
May 26 2015 01: +0,4.909,1535
May 27 2015 01: +0,4.844,1888
May 28 2015 01: +0,4.905,1408
May 29 2015 01: +0,4.973,1884
May 30 2015 01: +0,5.04,2268
May 31 2015 01: +0,5.22,2010
Jun 01 2015 01: +0,5.521,2169
Jun 02 2015 01: +0,5.936,2662
Jun 03 2015 01: +0,5.819,1967
Jun 04 2015 01: +0,5.649,1907
Jun 05 2015 01: +0,5.514,1599
Jun 06 2015 01: +0,5.4,1623
Jun 07 2015 01: +0,5.483,1694
Jun 08 2015 01: +0,5.533,1772
Jun 09 2015 01: +0,6.429,1553
Jun 10 2015 01: +0,5.575,1809
Jun 11 2015 01: +0,5.525,3791
Jun 12 2015 01: +0,4.815,3630
Jun 13 2015 01: +0,4.808,2861
Jun 14 2015 01: +0,4.712,3456
Jun 15 2015 01: +0,4.522,2541
Jun 16 2015 01: +0,4.471,2926
Jun 17 2015 01: +0,4.482,2616
Jun 18 2015 01: +0,4.42,2681
